module	width	recipe	class	source_sha256	worst_arrival_ps	worst_output	area_um2
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_default	16	default	control	0ff9ca6cec86a7373e2cc3f4ab48cc6f86aaf0c9c9d8a1e2baad9f4ae2703cf8	6410.0	y[34]	10272.35
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_classic	16	classic	control	0ff9ca6cec86a7373e2cc3f4ab48cc6f86aaf0c9c9d8a1e2baad9f4ae2703cf8	5040.0	y[33]	18069.83
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_mux_default	16	default	control	12b7d575feb2b5d439768ceb892e35d076fd7b8f86eff73719e227b3a7510340	7540.0	y[35]	9953.30
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_mux_classic	16	classic	control	12b7d575feb2b5d439768ceb892e35d076fd7b8f86eff73719e227b3a7510340	5630.0	y[33]	11956.47
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_default	16	default	control	d9f5880ea96c4f93f3f87e1105d99dedaf8da10f632017366433a25814c67f35	8240.0	y[34]	9522.88
mul16_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_classic	16	classic	control	d9f5880ea96c4f93f3f87e1105d99dedaf8da10f632017366433a25814c67f35	6070.0	y[33]	12575.81
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_default	16	default	control	c8f9c9cc105ed13d3c2de54919f5909ff8e622682f9999b21fcd23aebb30ad59	7010.0	y[35]	9724.33
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_classic	16	classic	control	c8f9c9cc105ed13d3c2de54919f5909ff8e622682f9999b21fcd23aebb30ad59	5480.0	y[33]	14714.11
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_default	16	default	control	640877965d8b3b4db44bb06590dc4ae0bfbf02919e77267267f83a12e88cb7a6	7720.0	y[34]	9559.17
mul16_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_classic	16	classic	control	640877965d8b3b4db44bb06590dc4ae0bfbf02919e77267267f83a12e88cb7a6	5150.0	y[33]	17147.70
mac16_requant_behavioral_default	16	default	behavioral	5f45d135c81d0e5fab52cd7004c44571347fa040b96c00e4edcb016f64ec8ed2	10280.0	y[50]	9881.98
mac16_requant_behavioral_classic	16	classic	behavioral	5f45d135c81d0e5fab52cd7004c44571347fa040b96c00e4edcb016f64ec8ed2	5590.0	y[49]	16731.05
mul16_mac_requant_evo608_default	16	default	candidate	8a97065d16159ba1e5abb9368da647dbe9a807e3ab663d9f3f67026a8ab77204	7400.0	y[45]	9123.75
mul16_mac_requant_evo608_classic	16	classic	candidate	8a97065d16159ba1e5abb9368da647dbe9a807e3ab663d9f3f67026a8ab77204	4740.0	y[33]	14417.58
mul16_mac_requant_evo608_norules_default	16	default	ablation	e808e0140850afb15cb7723b66fb604c4eb189fab1abfb901aa63d68675bfe3f	7630.0	y[42]	9285.16
mul16_mac_requant_evo608_norules_classic	16	classic	ablation	e808e0140850afb15cb7723b66fb604c4eb189fab1abfb901aa63d68675bfe3f	5540.0	y[33]	14156.08
