module	width	recipe	class	source_sha256
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	16	default	control	ccf8a9b005185fbeb4ae139a434b8f8733c8034ec6895436760284510a54e8f8
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	16	classic	control	ccf8a9b005185fbeb4ae139a434b8f8733c8034ec6895436760284510a54e8f8
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	16	default	control	a83cdb83aeffb91e181e0259f569b35b7b6500403cb3084c98b35d5646f8e592
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_classic	16	classic	control	a83cdb83aeffb91e181e0259f569b35b7b6500403cb3084c98b35d5646f8e592
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_default	16	default	control	f46cb2c49d3a988270e9e5a8d67c762f28dcf843e98c542131deb92b390b8b16
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_classic	16	classic	control	f46cb2c49d3a988270e9e5a8d67c762f28dcf843e98c542131deb92b390b8b16
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_default	16	default	control	ca6e814f8369a5458f9823af8ceaa8f0b3ed32e50eab7668d46dc357b6454ca1
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_classic	16	classic	control	ca6e814f8369a5458f9823af8ceaa8f0b3ed32e50eab7668d46dc357b6454ca1
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_default	16	default	control	5f4d5d60a762b72b34c31016079c170fcaf7ebe0c944ce1b59d01a977c8b27f0
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_classic	16	classic	control	5f4d5d60a762b72b34c31016079c170fcaf7ebe0c944ce1b59d01a977c8b27f0
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_default	16	default	control	bc07674f42c4dd660bfd03635e29c0576087ccfd0137b0fbdaa9dde92eb26810
