module	width	class	samples	seed	recipe	source_sha256	worst_arrival_ps	worst_output	area_um2
mul24_mac_replay_ctrl_wallace_ripple_xormaj_classic	24	control	1000	1752132732	classic	17bde20a71b7d030d954e9a3933985927d1b3f789b68cf43b454108aec1a607b	8420.0	y[49]	25867.31
mul24_mac_replay_ctrl_dadda_ripple_xormaj_default	24	control	1000	1752132732	default	bd900a70136981289eb5f17a8762903db40cbbd4070f97bcd717d2f5832f1df4	15430.0	y[50]	19797.74
mul24_mac_replay_ctrl_dadda_ripple_xormaj_classic	24	control	1000	1752132732	classic	bd900a70136981289eb5f17a8762903db40cbbd4070f97bcd717d2f5832f1df4	9760.0	y[49]	22859.42
mul24_mac_replay_ctrl_array_ripple_mux_default	24	control	1000	1752132732	default	f35f8fa5adfc24a951abe2765dfe5ec56e43d5da0b52fe14d82539bd06e64990	13590.0	y[52]	20423.34
mul24_mac_replay_ctrl_array_ripple_mux_classic	24	control	1000	1752132732	classic	f35f8fa5adfc24a951abe2765dfe5ec56e43d5da0b52fe14d82539bd06e64990	9580.0	y[49]	23880.40
mul24_mac_replay_ctrl_wallace_ripple_mux_default	24	control	1000	1752132732	default	c2241a4ade22ae0b40cacd546862104b88b0b2fc63d0a6b393e77b8575965085	10590.0	y[51]	21376.75
mul24_mac_replay_ctrl_wallace_ripple_mux_classic	24	control	1000	1752132732	classic	c2241a4ade22ae0b40cacd546862104b88b0b2fc63d0a6b393e77b8575965085	7910.0	y[49]	23944.21
mul24_mac_replay_ctrl_dadda_ripple_mux_default	24	control	1000	1752132732	default	61187edd0e39b645a2e9786199b3d761f53e3dd00a5f038b2a4f69fd78f09024	10790.0	y[58]	19809.00
mul24_mac_replay_ctrl_dadda_ripple_mux_classic	24	control	1000	1752132732	classic	61187edd0e39b645a2e9786199b3d761f53e3dd00a5f038b2a4f69fd78f09024	7810.0	y[49]	22683.00
mul24_mac_replay_ctrl_array_koggestone_xormaj_default	24	control	1000	1752132732	default	d15c0843b02530b7aa2c83a43da71a26180502c0faedb12d2435c6f346ef783a	11410.0	y[50]	21154.04
mul24_mac_replay_ctrl_array_koggestone_xormaj_classic	24	control	1000	1752132732	classic	d15c0843b02530b7aa2c83a43da71a26180502c0faedb12d2435c6f346ef783a	6960.0	y[49]	27269.90
mul24_mac_replay_ctrl_wallace_koggestone_xormaj_default	24	control	1000	1752132732	default	ecc724f7b0401321af2a161de7ade953b82d3fffac273ec46d027a49a00f525e	10690.0	y[56]	23032.09
mul24_mac_replay_ctrl_wallace_koggestone_xormaj_classic	24	control	1000	1752132732	classic	ecc724f7b0401321af2a161de7ade953b82d3fffac273ec46d027a49a00f525e	5980.0	y[49]	39873.24
mul24_mac_replay_ctrl_dadda_koggestone_xormaj_default	24	control	1000	1752132732	default	3f6671868dec1da9f0288a785cdcc0d9e6ffa872e5a3bf445cd502547a602b3f	8570.0	y[49]	22317.65
mul24_mac_replay_ctrl_dadda_koggestone_xormaj_classic	24	control	1000	1752132732	classic	3f6671868dec1da9f0288a785cdcc0d9e6ffa872e5a3bf445cd502547a602b3f	5860.0	y[49]	38087.78
mul24_mac_replay_ctrl_array_koggestone_mux_default	24	control	1000	1752132732	default	da8a284617b2daa57fb475008c480bbc7076a5c471b5bd016854ff4b67f5d256	9410.0	y[74]	20662.32
mul24_mac_replay_ctrl_array_koggestone_mux_classic	24	control	1000	1752132732	classic	da8a284617b2daa57fb475008c480bbc7076a5c471b5bd016854ff4b67f5d256	7610.0	y[49]	27660.28
mul24_mac_replay_ctrl_wallace_koggestone_mux_default	24	control	1000	1752132732	default	8f34cbcbab0f7cedc34251104b427904385de122112627a06d34accaa08474a1	7390.0	y[50]	22610.44
mul24_mac_replay_ctrl_wallace_koggestone_mux_classic	24	control	1000	1752132732	classic	8f34cbcbab0f7cedc34251104b427904385de122112627a06d34accaa08474a1	6660.0	y[49]	29336.89
mul24_mac_replay_ctrl_dadda_koggestone_mux_default	24	control	1000	1752132732	default	a940d17ed9afca68aba3dae5ff92c83a996deebeef518106a7ed9174130a3fe9	8930.0	y[66]	21209.09
mul24_mac_replay_ctrl_dadda_koggestone_mux_classic	24	control	1000	1752132732	classic	a940d17ed9afca68aba3dae5ff92c83a996deebeef518106a7ed9174130a3fe9	6040.0	y[49]	33457.09
mul24_mac_replay_ctrl_array_sklansky_xormaj_default	24	control	1000	1752132732	default	44705c9a8552286bb2312c264f10f173aa72df03b3be8a9a6971807f84398fd9	11660.0	y[74]	20901.30
mul24_mac_replay_ctrl_array_sklansky_xormaj_classic	24	control	1000	1752132732	classic	44705c9a8552286bb2312c264f10f173aa72df03b3be8a9a6971807f84398fd9	8420.0	y[49]	28686.26
mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default	24	control	1000	1752132732	default	7228abc4ea37ac222946d088744e34fef249ed0824814ca12f24b954fe248ca4	11890.0	y[70]	20996.39
mul24_mac_replay_ctrl_wallace_sklansky_xormaj_classic	24	control	1000	1752132732	classic	7228abc4ea37ac222946d088744e34fef249ed0824814ca12f24b954fe248ca4	6980.0	y[49]	38720.89
mul24_mac_replay_ctrl_dadda_sklansky_xormaj_default	24	control	1000	1752132732	default	1bb10faa4f6f1b8a1ea42dd5f9a5b05d6e80cc0f7a7cb3400a7771b7d53fc83b	15450.0	y[53]	19957.89
mul24_mac_replay_ctrl_dadda_sklansky_xormaj_classic	24	control	1000	1752132732	classic	1bb10faa4f6f1b8a1ea42dd5f9a5b05d6e80cc0f7a7cb3400a7771b7d53fc83b	6090.0	y[49]	36580.08
mul24_mac_replay_ctrl_array_sklansky_mux_default	24	control	1000	1752132732	default	38690fe4a2256e46c770c2db5fd26f1dc5b31a465bda0a8cfe4eb7becaa696f8	11160.0	y[50]	20293.21
mul24_mac_replay_ctrl_array_sklansky_mux_classic	24	control	1000	1752132732	classic	38690fe4a2256e46c770c2db5fd26f1dc5b31a465bda0a8cfe4eb7becaa696f8	7450.0	y[49]	27796.66
mul24_mac_replay_ctrl_wallace_sklansky_mux_default	24	control	1000	1752132732	default	e9fd707564dac72296e095c026bd2248149aa29df8aa265ce0b64573dee55eba	8910.0	y[74]	20570.98
mul24_mac_replay_ctrl_wallace_sklansky_mux_classic	24	control	1000	1752132732	classic	e9fd707564dac72296e095c026bd2248149aa29df8aa265ce0b64573dee55eba	6910.0	y[49]	29241.80
mul24_mac_replay_ctrl_dadda_sklansky_mux_default	24	control	1000	1752132732	default	9377708d3cb4576d2998f1a1a59a925bc2a5b592f92454169f3545134940ce3e	11250.0	y[49]	19653.85
mul24_mac_replay_ctrl_dadda_sklansky_mux_classic	24	control	1000	1752132732	classic	9377708d3cb4576d2998f1a1a59a925bc2a5b592f92454169f3545134940ce3e	6220.0	y[49]	31949.39
mul24_mac_replay_ctrl_array_brentkung_xormaj_default	24	control	1000	1752132732	default	826c21fcbb911d6f51e4b5628ed1d636f770646f6f08f6a993b68ca0b2080614	16440.0	y[58]	20783.68
mul24_mac_replay_ctrl_array_brentkung_xormaj_classic	24	control	1000	1752132732	classic	826c21fcbb911d6f51e4b5628ed1d636f770646f6f08f6a993b68ca0b2080614	7490.0	y[49]	27545.17
mul24_mac_replay_ctrl_wallace_brentkung_xormaj_default	24	control	1000	1752132732	default	e02dac300a95f9a9fbb003291e72c57acb99b52a8f69c6750b509a0e88c99fd1	12660.0	y[49]	20732.38
mul24_mac_replay_ctrl_wallace_brentkung_xormaj_classic	24	control	1000	1752132732	classic	e02dac300a95f9a9fbb003291e72c57acb99b52a8f69c6750b509a0e88c99fd1	7180.0	y[49]	37684.89
mul24_mac_replay_ctrl_dadda_brentkung_xormaj_default	24	control	1000	1752132732	default	a77ebab2756fc19dbd9aafe787abfa61e760ebf42a6f2ecfdfa457c36defe8ca	13800.0	y[56]	19800.24
mul24_mac_replay_ctrl_dadda_brentkung_xormaj_classic	24	control	1000	1752132732	classic	a77ebab2756fc19dbd9aafe787abfa61e760ebf42a6f2ecfdfa457c36defe8ca	6130.0	y[49]	35383.94
mul24_mac_replay_ctrl_array_brentkung_mux_default	24	control	1000	1752132732	default	809d3a9145c56829bfbe921f5d74653e72bd74f9aee24ecbe22d1fde5a7d5200	12040.0	y[68]	20210.63
